"mes","ROI","porcentaje_marketing","costo_financiero","costo_marketing","utilidad","venta"
0,0.2,0.04,3.56,1600,1400,40000
1,0.2,0.04,5.67,1600,2120,41440
2,0.2,0.04,6.42,1657.6,2808.32,42931.84
3,0.2,0.04,5.76,1717.27,3521.42,44477.39
4,0.2,0.04,8.08,1779.1,2260.19,46078.57
5,0.2,0.04,8.88,1843.14,3025.56,47737.4
6,0.2,0.04,8.12,1909.5,3818.48,49455.95
7,0.2,0.04,5.72,1978.24,4639.94,51236.36
8,0.2,0.04,6.08,2049.45,3490.98,53080.87
9,0.2,0.04,4.7,2123.23,4372.66,54991.78
10,0.2,0.04,1.5,2199.67,5286.07,56971.49
11,0.2,0.04,0.88,2278.86,4232.37,59022.46
12,0.2,0.04,0,2360.9,5212.74,61147.27
0,0.2,0.08,12.44,3200,-200,40000
1,0.2,0.08,15.93,3200,1240,42880
2,0.2,0.08,13,3430.4,2553.28,45967.36
3,0.2,0.08,16.34,3677.39,1961.12,49277.01
4,0.2,0.08,21.16,3942.16,1470.32,52824.95
5,0.2,0.08,22.81,4226,3088.18,56628.35
6,0.2,0.08,25.51,4530.27,2822.53,60705.59
7,0.2,0.08,29,4856.45,2681.75,65076.4
8,0.2,0.08,28.59,5206.11,4674.84,69761.9
9,0.2,0.08,28.43,5580.95,4811.42,74784.75
10,0.2,0.08,28.22,5982.78,5101.85,80169.25
11,0.2,0.08,27.64,6413.54,5557.18,85941.44
12,0.2,0.08,26.35,6875.32,6189.3,92129.22
0,0.2,0.12,26.67,4800,-1800,40000
1,0.2,0.12,32.78,4800,360,44320
2,0.2,0.12,44.35,5318.4,234.88,49106.56
3,0.2,0.12,56.58,5892.79,312.25,54410.07
4,0.2,0.12,68.11,6529.21,613.97,60286.36
5,0.2,0.12,77.41,7234.36,1164.28,66797.28
6,0.2,0.12,82.82,8015.67,1990.02,74011.39
7,0.2,0.12,95.79,8881.37,1120.94,82004.62
8,0.2,0.12,100.93,9840.55,2590,90861.12
9,0.2,0.12,109.3,10903.33,2433.73,100674.12
10,0.2,0.12,111.06,12080.89,4692.57,111546.92
11,0.2,0.12,114.47,13385.63,5411.36,123593.99
12,0.2,0.12,124.28,14831.28,4639.79,136942.14
0,0.2,0.16,45.33,6400,-3400,40000
1,0.2,0.16,57.53,6400,-520,45760
2,0.2,0.16,89.42,7321.6,-2146.88,52349.44
3,0.2,0.16,114.21,8375.91,-1432.03,59887.76
4,0.2,0.16,128.78,9582.04,-326.24,68511.6
5,0.2,0.16,153.07,10961.86,-773.22,78377.27
6,0.2,0.16,179.29,12540.36,-708.57,89663.59
7,0.2,0.16,202.61,14346.17,-58.6,102575.15
8,0.2,0.16,219.47,16412.02,1260.96,117345.97
9,0.2,0.16,242.55,18775.36,1346.54,134243.79
10,0.2,0.16,263.51,21479.01,2308.44,153574.9
11,0.2,0.16,289.62,24571.98,2272.86,175689.68
12,0.2,0.16,313.94,28110.35,3384.15,200989
0,0.6,0.04,3.56,1600,1400,40000
1,0.6,0.04,5.19,1600,2360,41920
2,0.6,0.04,4.99,1676.8,3289.28,43932.16
3,0.6,0.04,7.29,1757.29,2263.17,46040.9
4,0.6,0.04,7.58,1841.64,3283.8,48250.87
5,0.6,0.04,5.75,1930.03,4353.42,50566.91
6,0.6,0.04,6.14,2022.68,3474.38,52994.12
7,0.6,0.04,4.2,2119.76,4649.15,55537.84
8,0.6,0.04,4.26,2221.51,3880.31,58203.65
9,0.6,0.04,1.77,2328.15,5170.57,60997.43
10,0.6,0.04,0,2439.9,6522.76,63925.31
11,0.6,0.04,0,2557.01,5939.85,66993.72
12,0.6,0.04,0,2679.75,5424.96,70209.42
0,0.6,0.08,12.44,3200,-200,40000
1,0.6,0.08,12.94,3200,1720,43840
2,0.6,0.08,15.81,3507.2,1517.12,48048.64
3,0.6,0.08,20.9,3843.89,1486.76,52661.31
4,0.6,0.08,19.88,4212.9,3645.49,57716.8
5,0.6,0.08,20.21,4617.34,4011.46,63257.61
6,0.6,0.08,19.91,5060.61,4604.56,69330.34
7,0.6,0.08,18.47,5546.43,5446.6,75986.05
8,0.6,0.08,19.81,6078.88,4561.47,83280.71
9,0.6,0.08,18.89,6662.46,5975.37,91275.66
10,0.6,0.08,19.52,7302.05,5717.01,100038.12
11,0.6,0.08,16.56,8003.05,7817.84,109641.78
12,0.6,0.08,13.66,8771.34,8312.35,120167.39
0,0.6,0.12,26.67,4800,-1800,40000
1,0.6,0.12,28.3,4800,1080,45760
2,0.6,0.12,44.27,5491.2,-316.48,52349.44
3,0.6,0.12,55.39,6281.93,661.95,59887.76
4,0.6,0.12,59.04,7186.53,2069.27,68511.6
5,0.6,0.12,65.56,8221.39,1967.24,78377.27
6,0.6,0.12,71.53,9405.27,2426.52,89663.59
7,0.6,0.12,76.62,10759.63,3527.94,102575.15
8,0.6,0.12,78.86,12309.02,5363.97,117345.97
9,0.6,0.12,81.84,14081.52,6040.38,134243.79
10,0.6,0.12,81.85,16109.26,7678.19,153574.9
11,0.6,0.12,83.48,18428.99,8415.85,175689.68
12,0.6,0.12,81.87,21082.76,10411.74,200989
0,0.6,0.16,45.33,6400,-3400,40000
1,0.6,0.16,69.3,6400,-1560,47680
2,0.6,0.16,80.19,7628.8,-211.52,56834.56
3,0.6,0.16,95.09,9093.53,-220.13,67746.8
4,0.6,0.16,108.59,10839.49,537.6,80754.18
5,0.6,0.16,130.81,12920.67,208.82,96258.98
6,0.6,0.16,152.07,15401.44,968.92,114740.71
7,0.6,0.16,177.84,18358.51,1026.95,136770.92
8,0.6,0.16,198.74,21883.35,2632.12,163030.94
9,0.6,0.16,216.94,26084.95,4081.49,194332.88
10,0.6,0.16,232.44,31093.26,5729.14,231644.79
11,0.6,0.16,264.47,37063.17,5997.13,276120.6
12,0.6,0.16,304.77,44179.3,7388.58,329135.75
0,1,0.04,3.56,1600,1400,40000
1,1,0.04,4.71,1600,2600,42400
2,1,0.04,3.54,1696,3776,44944
3,1,0.04,4.33,1797.76,3022.56,47640.64
4,1,0.04,2.51,1905.63,4343.91,50499.08
5,1,0.04,2.36,2019.96,3744.55,53529.02
6,1,0.04,0,2141.16,5229.22,56740.76
7,1,0.04,0,2269.63,4802.97,60145.21
8,1,0.04,0,2405.81,6471.15,63753.92
9,1,0.04,0,2550.16,6239.42,67579.16
10,1,0.04,0,2703.17,6113.79,71633.91
11,1,0.04,0,2865.36,8100.61,75931.94
12,1,0.04,0,3037.28,8206.65,80487.86
0,1,0.08,12.44,3200,-200,40000
1,1,0.08,9.96,3200,2200,44800
2,1,0.08,11.66,3584,2504,50176
3,1,0.08,13.27,4014.08,3084.48,56197.12
4,1,0.08,13.65,4495.77,3974.62,62940.77
5,1,0.08,16.57,5035.26,3211.57,70493.67
6,1,0.08,16.81,5639.49,4836.96,78952.91
7,1,0.08,17.98,6316.23,4897.4,88427.26
8,1,0.08,14.66,7074.18,7445.08,99038.53
9,1,0.08,10.23,7923.08,8538.49,110923.15
10,1,0.08,7.94,8873.85,8243.11,124233.93
11,1,0.08,2,9938.71,10632.29,139142
12,1,0.08,0,11131.36,11788.16,155839.04
0,1,0.12,26.67,4800,-1800,40000
1,1,0.12,37.16,4800,-200,47200
2,1,0.12,43.86,5664,1184,55696
3,1,0.12,52.84,6683.52,1177.12,65721.28
4,1,0.12,59.7,7886.55,1889,77551.11
5,1,0.12,59.27,9306.13,3449.02,91510.31
6,1,0.12,64.77,10981.24,4009.85,107982.17
7,1,0.12,67.53,12957.86,5751.62,127418.96
8,1,0.12,70.33,15290.27,6886.91,150354.37
9,1,0.12,66.79,18042.52,9666.55,177418.15
10,1,0.12,67.15,21290.18,10386.53,209353.42
11,1,0.12,62.51,25122.41,13396.11,247037.04
12,1,0.12,54.52,29644.44,17107.41,291503.71
0,1,0.16,45.33,6400,-3400,40000
1,1,0.16,58.84,6400,-600,49600
2,1,0.16,70.77,7936,-184,61504
3,1,0.16,94.01,9840.64,-708.16,76264.96
4,1,0.16,114.72,12202.39,81.88,94568.55
5,1,0.16,126.33,15130.97,2501.53,117265
6,1,0.16,141.25,18762.4,2941.9,145408.6
7,1,0.16,157.62,23265.38,3887.96,180306.67
8,1,0.16,173.17,28849.07,5941.07,223580.27
9,1,0.16,199.9,35772.84,7846.92,277239.53
10,1,0.16,229.5,44358.33,10530.18,343777.02
11,1,0.16,265.84,55004.32,13137.43,426283.51
12,1,0.16,307.34,68205.36,17090.41,528591.55
0,1.4,0.04,3.56,1600,1400,40000
1,1.4,0.04,4.23,1600,2840,42880
2,1.4,0.04,2.08,1715.2,4268.48,45967.36
3,1.4,0.04,1.33,1838.69,3799.81,49277.01
4,1.4,0.04,1.77,1971.08,3441.4,52824.95
5,1.4,0.04,0,2113,5201.18,56628.35
6,1.4,0.04,0,2265.13,5087.66,60705.59
7,1.4,0.04,0,2428.22,5109.97,65076.4
8,1.4,0.04,0,2603.06,7277.89,69761.9
9,1.4,0.04,0,2790.48,7601.9,74784.75
10,1.4,0.04,0,2991.39,8093.24,80169.25
11,1.4,0.04,0,3206.77,8763.95,85941.44
12,1.4,0.04,0,3437.66,9626.95,92129.22
0,1.4,0.08,12.44,3200,-200,40000
1,1.4,0.08,8.46,3200,2680,45760
2,1.4,0.08,13.14,3660.8,1513.92,52349.44
3,1.4,0.08,15.89,4187.96,2755.92,59887.76
4,1.4,0.08,15.8,4791.02,4464.78,68511.6
5,1.4,0.08,16.27,5480.93,4707.71,78377.27
6,1.4,0.08,16.1,6270.18,5561.62,89663.59
7,1.4,0.08,13.91,7173.09,7114.49,102575.15
8,1.4,0.08,8.13,8206.01,9466.97,117345.97
9,1.4,0.08,1.41,9387.68,10734.22,134243.79
10,1.4,0.08,0,10739.5,13047.95,153574.9
11,1.4,0.08,0,12285.99,14558.85,175689.68
12,1.4,0.08,0,14055.17,17439.32,200989
0,1.4,0.12,26.67,4800,-1800,40000
1,1.4,0.12,32.68,4800,520,48640
2,1.4,0.12,43.13,5836.8,736.32,59146.24
3,1.4,0.12,48.92,7097.55,1863.37,71921.83
4,1.4,0.12,44.18,8630.62,4097.85,87456.94
5,1.4,0.12,51.46,10494.83,3678.99,106347.64
6,1.4,0.12,49.54,12761.72,6897.65,129318.73
7,1.4,0.12,48.46,15518.25,8107.54,157251.58
8,1.4,0.12,47.66,18870.19,9738.77,191217.92
9,1.4,0.12,44.61,22946.15,12314.35,232520.99
10,1.4,0.12,41.56,27902.52,16470.24,282745.53
11,1.4,0.12,35.37,33929.46,20979.82,343818.56
12,1.4,0.12,28.97,41258.23,24783.46,418083.37
0,1.4,0.16,45.33,6400,-3400,40000
1,1.4,0.16,48.39,6400,360,51520
2,1.4,0.16,62.68,8243.2,-64.32,66357.76
3,1.4,0.16,76.21,10617.24,1117.16,85468.79
4,1.4,0.16,87.12,13675.01,2366.9,110083.81
5,1.4,0.16,92.31,17613.41,4280.56,141787.94
6,1.4,0.16,104.92,22686.07,5625.37,182622.87
7,1.4,0.16,124.35,29219.66,7389.47,235218.26
8,1.4,0.16,143.47,37634.92,10845.64,302961.12
9,1.4,0.16,169.59,48473.78,13633.18,390213.92
10,1.4,0.16,201.88,62434.23,17863.54,502595.53
11,1.4,0.16,237.93,80415.28,24256.24,647343.04
12,1.4,0.16,279.6,103574.89,32314.03,833777.84
